E	G	GxE_mean
17-RAS	KWS Serafino	82.4251
17-RAS	KWS Theofano	81.0574
17-RAS	KWS Trebiano	78.1316
17-RAS	KWS Vinetto	78.471
17-RAS	Palazzo	71.7985
17-RAS	SU Cossani	74.9752
17-RAS	SU Performer	72.7661
17-SEL	Brasetto	91.1015
17-SEL	Conduct	75.4114
17-SEL	KWS Binntto	96.899
17-SEL	KWS Bono	88.0011
17-SEL	KWS Daniello	89.7273
17-SEL	KWS Edmondo	96.6112
17-SEL	KWS Eterno	100.61
17-SEL	KWS Gatano	100.34
17-SEL	KWS H168	91.4028
17-SEL	KWS H169	95.1063
17-SEL	KWS H171	94.4988
17-SEL	KWS H172	101.43
17-SEL	KWS H173	96.7888
17-SEL	KWS H176	100.84
17-SEL	KWS H177	98.8742
17-SEL	KWS H178	103.3
17-SEL	KWS H179	102.13
17-SEL	KWS H180	92.4746
17-SEL	KWS H181	111.2
17-SEL	KWS H182	100.28
17-SEL	KWS H183	95.8652
17-SEL	KWS Mangano	96.1075
17-SEL	KWS Mattino	98.5645
17-SEL	KWS Serafino	94.6181
17-SEL	KWS Theofano	97.3389
17-SEL	KWS Trebiano	93.8778
17-SEL	KWS Vinetto	97.0079
17-SEL	Palazzo	85.1272
17-SEL	SU Cossani	92.4927
17-SEL	SU Performer	97.6345
17-SKS	Brasetto	69.6549
17-SKS	Conduct	53.8939
17-SKS	KWS Binntto	74.6268
17-SKS	KWS Bono	72.998
17-SKS	KWS Daniello	72.5173
17-SKS	KWS Edmondo	75.0594
17-SKS	KWS Eterno	72.8043
17-SKS	KWS Gatano	76.6971
17-SKS	KWS H168	75.1775
17-SKS	KWS H169	73.3226
17-SKS	KWS H171	72.1822
17-SKS	KWS H172	78.5967
17-SKS	KWS H173	72.433
17-SKS	KWS H176	81.8423
17-SKS	KWS H177	78.4384
17-SKS	KWS H178	79.7935
17-SKS	KWS H179	74.7876
17-SKS	KWS H180	76.7022
17-SKS	KWS H181	81.4695
17-SKS	KWS H182	79.8458
17-SKS	KWS H183	70.3901
17-SKS	KWS Mangano	74.1953
17-SKS	KWS Mattino	75.7002
17-SKS	KWS Serafino	76.6961
17-SKS	KWS Theofano	77.6064
17-SKS	KWS Trebiano	74.5027
17-SKS	KWS Vinetto	74.9368
17-SKS	Palazzo	62.5118
17-SKS	SU Cossani	72.6215
17-SKS	SU Performer	70.2258
17-THY	Brasetto	47.1951
17-THY	Conduct	38.6422
17-THY	KWS Binntto	51.8675
17-THY	KWS Bono	50.3731
17-THY	KWS Daniello	51.5461
17-THY	KWS Edmondo	48.1883
17-THY	KWS Eterno	44.176
17-THY	KWS Gatano	49.3236
17-THY	KWS H168	56.7881
17-THY	KWS H169	52.4371
17-THY	KWS H171	50.103
17-THY	KWS H172	58.7886
17-THY	KWS H173	54.4741
17-THY	KWS H176	54.0214
17-THY	KWS H177	54.0818
17-THY	KWS H178	54.9261
17-THY	KWS H179	49.3279
17-THY	KWS H180	47.7263
17-THY	KWS H181	55.366
17-THY	KWS H182	53.6431
17-THY	KWS H183	49.2517
17-THY	KWS Mangano	48.7767
17-THY	KWS Mattino	52.4151
17-THY	KWS Serafino	50.3057
17-THY	KWS Theofano	52.4505
17-THY	KWS Trebiano	47.3436
17-THY	KWS Vinetto	51.5494
17-THY	Palazzo	45.5736
17-THY	SU Cossani	49.7726
17-THY	SU Performer	45.0242
17-TRI	Brasetto	104.83
17-TRI	Conduct	80.7646
17-TRI	KWS Binntto	102.89
17-TRI	KWS Bono	104.43
17-TRI	KWS Daniello	105.03
17-TRI	KWS Edmondo	101.34
17-TRI	KWS Eterno	102.83
17-TRI	KWS Gatano	100.76
17-TRI	KWS H168	102.77
17-TRI	KWS H169	102.05
17-TRI	KWS H171	102.98
17-TRI	KWS H172	104.88
17-TRI	KWS H173	104.48
17-TRI	KWS H176	111.25
17-TRI	KWS H177	110.1
17-TRI	KWS H178	112.85
17-TRI	KWS H179	108.49
17-TRI	KWS H180	102.56
17-TRI	KWS H181	108.64
17-TRI	KWS H182	102.37
17-TRI	KWS H183	111.74
17-TRI	KWS Mangano	102.21
17-TRI	KWS Mattino	102.24
17-TRI	KWS Serafino	109.58
17-TRI	KWS Theofano	102.61
17-TRI	KWS Trebiano	102.66
17-TRI	KWS Vinetto	102.33
17-TRI	Palazzo	102.05
17-TRI	SU Cossani	99.3417
17-TRI	SU Performer	107.36
17-WIR	Brasetto	69.9009
17-WIR	Conduct	67.0007
17-WIR	KWS Binntto	80.4946
17-WIR	KWS Bono	81.0176
17-WIR	KWS Daniello	84.3388
17-WIR	KWS Edmondo	81.7286
17-WIR	KWS Eterno	81.4578
17-WIR	KWS Gatano	82.2873
17-WIR	KWS H168	92.6586
17-WIR	KWS H169	84.8249
17-WIR	KWS H171	81.5411
17-WIR	KWS H172	81.6802
17-WIR	KWS H173	82.7883
17-WIR	KWS H176	90.9136
17-WIR	KWS H177	88.3207
17-WIR	KWS H178	90.4075
17-WIR	KWS H179	86.3273
17-WIR	KWS H180	87.2234
17-WIR	KWS H181	89.5096
17-WIR	KWS H182	88.2075
17-WIR	KWS H183	91.5598
17-WIR	KWS Mangano	82.278
17-WIR	KWS Mattino	82.6389
17-WIR	KWS Serafino	88.4105
17-WIR	KWS Theofano	84.3689
17-WIR	KWS Trebiano	83.4615
17-WIR	KWS Vinetto	83.4383
17-WIR	Palazzo	74.2798
17-WIR	SU Cossani	79.254
17-WIR	SU Performer	85.6839
17-WOH	Brasetto	73.6224
17-WOH	Conduct	56.5421
17-WOH	KWS Binntto	75.5424
17-WOH	KWS Bono	74.5942
17-WOH	KWS Daniello	76.2758
17-WOH	KWS Edmondo	75.6422
17-WOH	KWS Eterno	80.8381
17-WOH	KWS Gatano	77.2795
17-WOH	KWS H168	73.6838
17-WOH	KWS H169	71.9141
17-WOH	KWS H171	72.4004
17-WOH	KWS H172	71.8999
17-WOH	KWS H173	74.0973
17-WOH	KWS H176	81.1827
17-WOH	KWS H177	78.0803
17-WOH	KWS H178	78.8664
17-WOH	KWS H179	78.4301
17-WOH	KWS H180	78.3663
17-WOH	KWS H181	78.2601
17-WOH	KWS H182	79.1335
17-WOH	KWS H183	76.6341
17-WOH	KWS Mangano	75.9705
17-WOH	KWS Mattino	76.4597
17-WOH	KWS Serafino	78.4209
17-WOH	KWS Theofano	77.0486
17-WOH	KWS Trebiano	74.4594
17-WOH	KWS Vinetto	76.3221
17-WOH	Palazzo	70.9659
17-WOH	SU Cossani	70.2672
17-WOH	SU Performer	81.0975
