"Y"	"t.j"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"51"	"2007"	2007	1980	"Satkhira"	"2007-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	4
"52"	"2007"	2007	1980	"Sonagazi"	"2007-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	3.7
"53"	"2007"	2007	1980	"Kustia"	"2007-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	5.05
"54"	"2008"	2008	1980	"Barisal"	"2008-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	3.36675
"55"	"2008"	2008	1980	"Comilla"	"2008-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	2.175
"56"	"2008"	2008	1980	"Gazipur"	"2008-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	5
"57"	"2008"	2008	1980	"Rajshahi"	"2008-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	4.25
"58"	"2008"	2008	1980	"Rangpur"	"2008-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	4.75
"59"	"2008"	2008	1980	"Satkhira"	"2008-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	4.775
"60"	"2008"	2008	1980	"Sonagazi"	"2008-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	1.7
"61"	"2008"	2008	1980	"Kustia"	"2008-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	5.125
"62"	"2009"	2009	1980	"Barisal"	"2009-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	2.7
"63"	"2009"	2009	1980	"Comilla"	"2009-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	3.4625
"64"	"2009"	2009	1980	"Gazipur"	"2009-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	4
"65"	"2009"	2009	1980	"Rajshahi"	"2009-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	4.925
"66"	"2009"	2009	1980	"Rangpur"	"2009-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	5
"67"	"2009"	2009	1980	"Satkhira"	"2009-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	4.3875
"68"	"2009"	2009	1980	"Sonagazi"	"2009-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	1.7
"69"	"2009"	2009	1980	"Kustia"	"2009-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	5.2
"70"	"2010"	2010	1980	"Barisal"	"2010-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	3.27
"71"	"2010"	2010	1980	"Comilla"	"2010-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	4.75
"72"	"2010"	2010	1980	"Gazipur"	"2010-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	4.9
"73"	"2010"	2010	1980	"Rajshahi"	"2010-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	6.3125
"74"	"2010"	2010	1980	"Rangpur"	"2010-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	5.2
"75"	"2010"	2010	1980	"Satkhira"	"2010-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	4.58125
"76"	"2010"	2010	1980	"Sonagazi"	"2010-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	4.65
"77"	"2010"	2010	1980	"Kustia"	"2010-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	6
"78"	"2011"	2011	1980	"Barisal"	"2011-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	3.84
"79"	"2011"	2011	1980	"Comilla"	"2011-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	1.5
"80"	"2011"	2011	1980	"Gazipur"	"2011-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	5
"81"	"2011"	2011	1980	"Rajshahi"	"2011-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	7.7
"82"	"2011"	2011	1980	"Rangpur"	"2011-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	3.1
"83"	"2011"	2011	1980	"Satkhira"	"2011-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	4.484375
"84"	"2011"	2011	1980	"Sonagazi"	"2011-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	5.8
"85"	"2011"	2011	1980	"Kustia"	"2011-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	4.66
"86"	"2012"	2012	1980	"Kustia"	"2012-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	5.5
"87"	"2012"	2012	1980	"Sonagazi"	"2012-Sonagazi"	"BR10"	"1"	"Long"	"Long-BR10"	4.95
"88"	"2012"	2012	1980	"Comilla"	"2012-Comilla"	"BR10"	"1"	"Long"	"Long-BR10"	5.4
"89"	"2012"	2012	1980	"Gazipur"	"2012-Gazipur"	"BR10"	"1"	"Long"	"Long-BR10"	4.45
"90"	"2012"	2012	1980	"Rajshahi"	"2012-Rajshahi"	"BR10"	"1"	"Long"	"Long-BR10"	4.82
"91"	"2012"	2012	1980	"Rangpur"	"2012-Rangpur"	"BR10"	"1"	"Long"	"Long-BR10"	2.5
"92"	"2012"	2012	1980	"Satkhira"	"2012-Satkhira"	"BR10"	"1"	"Long"	"Long-BR10"	3.005
"93"	"2012"	2012	1980	"Barisal"	"2012-Barisal"	"BR10"	"1"	"Long"	"Long-BR10"	3.51
"94"	"2013"	2013	1980	"Kustia"	"2013-Kustia"	"BR10"	"1"	"Long"	"Long-BR10"	5.7
