SL	Year	Location	Year of release	Rep	Variety	Group	Yield
116	2015	Bhanga	1980	1	BR10	Long	4.8975
117	2001	Barisal	1980	2	BR10	Long	3.75
118	2001	Comilla	1980	2	BR10	Long	4.543255814
119	2001	Gazipur	1980	2	BR10	Long	3.994883721
120	2001	Rajshahi	1980	2	BR10	Long	3.77
121	2001	Rangpur	1980	2	BR10	Long	3.660377907
122	2001	Satkhira	1980	2	BR10	Long	6.920813953
123	2001	Sonagazi	1980	2	BR10	Long	3.994883721
124	2002	Barisal	1980	2	BR10	Long	4.7
125	2002	Comilla	1980	2	BR10	Long	6.05
126	2002	Gazipur	1980	2	BR10	Long	4.017385465
127	2002	Rajshahi	1980	2	BR10	Long	4.069
128	2002	Rangpur	1980	2	BR10	Long	3.52
129	2002	Satkhira	1980	2	BR10	Long	6.494651163
130	2002	Sonagazi	1980	2	BR10	Long	4.293883721
131	2003	Barisal	1980	2	BR10	Long	4.52244186
132	2003	Comilla	1980	2	BR10	Long	2.810244186
133	2003	Gazipur	1980	2	BR10	Long	2.258232558
134	2003	Rajshahi	1980	2	BR10	Long	3.9195
135	2003	Rangpur	1980	2	BR10	Long	3.800755814
136	2003	Satkhira	1980	2	BR10	Long	7.346976744
137	2003	Sonagazi	1980	2	BR10	Long	3.15
138	2004	Barisal	1980	2	BR10	Long	3.811678463
139	2004	Comilla	1980	2	BR10	Long	2.277331395
140	2004	Gazipur	1980	2	BR10	Long	4.632093023
141	2004	Rajshahi	1980	2	BR10	Long	4.023069767
142	2004	Rangpur	1980	2	BR10	Long	3.6
143	2004	Satkhira	1980	2	BR10	Long	6.190697674
144	2004	Sonagazi	1980	2	BR10	Long	2.778012685
145	2004	Kustia	1980	2	BR10	Long	3.367601163
146	2005	Barisal	1980	2	BR10	Long	5.14
147	2005	Comilla	1980	2	BR10	Long	3.682790698
148	2005	Gazipur	1980	2	BR10	Long	3.75872093
149	2005	Rajshahi	1980	2	BR10	Long	6.560465116
150	2005	Rangpur	1980	2	BR10	Long	1.60065407
151	2005	Satkhira	1980	2	BR10	Long	6.497674419
152	2005	Sonagazi	1980	2	BR10	Long	3.2
153	2005	Kustia	1980	2	BR10	Long	5.043953488
154	2006	Barisal	1980	2	BR10	Long	4.55
155	2006	Comilla	1980	2	BR10	Long	1.15
156	2006	Gazipur	1980	2	BR10	Long	5.1
157	2006	Rajshahi	1980	2	BR10	Long	5.1
158	2006	Rangpur	1980	2	BR10	Long	4.6
159	2006	Satkhira	1980	2	BR10	Long	5.8
160	2006	Sonagazi	1980	2	BR10	Long	5.17
161	2006	Kustia	1980	2	BR10	Long	6.1
162	2007	Barisal	1980	2	BR10	Long	3.636
163	2007	Comilla	1980	2	BR10	Long	3.18
164	2007	Gazipur	1980	2	BR10	Long	4.15
165	2007	Rajshahi	1980	2	BR10	Long	5.2
166	2007	Rangpur	1980	2	BR10	Long	2.4
167	2007	Satkhira	1980	2	BR10	Long	3.75
168	2007	Sonagazi	1980	2	BR10	Long	3.48
169	2007	Kustia	1980	2	BR10	Long	4.65
170	2008	Barisal	1980	2	BR10	Long	3.443
171	2008	Comilla	1980	2	BR10	Long	2.075
172	2008	Gazipur	1980	2	BR10	Long	5.1
173	2008	Rajshahi	1980	2	BR10	Long	3.81
174	2008	Rangpur	1980	2	BR10	Long	4.3
175	2008	Satkhira	1980	2	BR10	Long	4.775
176	2008	Sonagazi	1980	2	BR10	Long	1.5
177	2008	Kustia	1980	2	BR10	Long	5.025
178	2009	Barisal	1980	2	BR10	Long	3.25
179	2009	Comilla	1980	2	BR10	Long	3.5225
180	2009	Gazipur	1980	2	BR10	Long	4.25
181	2009	Rajshahi	1980	2	BR10	Long	4.505
182	2009	Rangpur	1980	2	BR10	Long	3.75
183	2009	Satkhira	1980	2	BR10	Long	4.2625
184	2009	Sonagazi	1980	2	BR10	Long	1.55
185	2009	Kustia	1980	2	BR10	Long	5.4
186	2010	Barisal	1980	2	BR10	Long	3.42
187	2010	Comilla	1980	2	BR10	Long	4.97
188	2010	Gazipur	1980	2	BR10	Long	5.25
189	2010	Rajshahi	1980	2	BR10	Long	5.8025
190	2010	Rangpur	1980	2	BR10	Long	4.6
191	2010	Satkhira	1980	2	BR10	Long	4.51875
192	2010	Sonagazi	1980	2	BR10	Long	4.79
193	2010	Kustia	1980	2	BR10	Long	6.9
194	2011	Barisal	1980	2	BR10	Long	3.59
195	2011	Comilla	1980	2	BR10	Long	1.73
196	2011	Gazipur	1980	2	BR10	Long	4.3
197	2011	Rajshahi	1980	2	BR10	Long	7.1
198	2011	Rangpur	1980	2	BR10	Long	4.4
199	2011	Satkhira	1980	2	BR10	Long	4.390625
200	2011	Sonagazi	1980	2	BR10	Long	5.5
201	2011	Kustia	1980	2	BR10	Long	4.55
202	2012	Kustia	1980	2	BR10	Long	5.3
203	2012	Sonagazi	1980	2	BR10	Long	4.81
204	2012	Comilla	1980	2	BR10	Long	5.19
205	2012	Gazipur	1980	2	BR10	Long	5.987
206	2012	Rajshahi	1980	2	BR10	Long	5.6
207	2012	Rangpur	1980	2	BR10	Long	2.4
208	2012	Satkhira	1980	2	BR10	Long	2.97
209	2012	Barisal	1980	2	BR10	Long	3.54
210	2013	Kustia	1980	2	BR10	Long	5.2
211	2013	Sonagazi	1980	2	BR10	Long	4.68
212	2013	Comilla	1980	2	BR10	Long	5.065
213	2013	Gazipur	1980	2	BR10	Long	6.5
214	2013	Rajshahi	1980	2	BR10	Long	5.54
215	2013	Rangpur	1980	2	BR10	Long	3
216	2013	Barisal	1980	2	BR10	Long	5.06
217	2014	Kustia	1980	2	BR10	Long	4.59
218	2014	Sonagazi	1980	2	BR10	Long	3.16
