"Y"	"t.k"	"r.i"	"L"	"Env"	"G"	"Group"	"mean.yield"
"2008"	2008	1970	"Gazipur"	"2008-2009-Gazipur"	"BR1"	"Short"	4.9
"2008"	2008	1970	"Habiganj"	"2008-2009-Habiganj"	"BR1"	"Short"	6.46666666666667
"2008"	2008	1970	"Rajshahi"	"2008-2009-Rajshahi"	"BR1"	"Short"	4.52666666666667
"2008"	2008	1970	"Rangpur"	"2008-2009-Rangpur"	"BR1"	"Short"	2.6
"2008"	2008	1970	"Kustia"	"2008-2009-Kustia"	"BR1"	"Short"	7.21666666666667
"2008"	2008	1970	"Satkhira"	"2008-2009-Satkhira"	"BR1"	"Short"	6.17666666666667
"2009"	2009	1970	"Barisal"	"2009-2010-Barisal"	"BR1"	"Short"	4.81666666666667
"2009"	2009	1970	"Bhanga"	"2009-2010-Bhanga"	"BR1"	"Short"	5.97
"2009"	2009	1970	"Comilla"	"2009-2010-Comilla"	"BR1"	"Short"	5.77
"2009"	2009	1970	"Gazipur"	"2009-2010-Gazipur"	"BR1"	"Short"	3.80333333333333
"2009"	2009	1970	"Habiganj"	"2009-2010-Habiganj"	"BR1"	"Short"	6.01666666666667
"2009"	2009	1970	"Rajshahi"	"2009-2010-Rajshahi"	"BR1"	"Short"	4.66
"2009"	2009	1970	"Rangpur"	"2009-2010-Rangpur"	"BR1"	"Short"	2.53333333333333
"2009"	2009	1970	"Satkhira"	"2009-2010-Satkhira"	"BR1"	"Short"	5.75666666666667
"2009"	2009	1970	"Kustia"	"2009-2010-Kustia"	"BR1"	"Short"	5.95333333333333
"2010"	2010	1970	"Barisal"	"2010-2011-Barisal"	"BR1"	"Short"	5.26333333333333
"2010"	2010	1970	"Bhanga"	"2010-2011-Bhanga"	"BR1"	"Short"	5.87
"2010"	2010	1970	"Comilla"	"2010-2011-Comilla"	"BR1"	"Short"	5.59
"2010"	2010	1970	"Gazipur"	"2010-2011-Gazipur"	"BR1"	"Short"	2.68333333333333
"2010"	2010	1970	"Habiganj"	"2010-2011-Habiganj"	"BR1"	"Short"	5.56666666666667
"2010"	2010	1970	"Rangpur"	"2010-2011-Rangpur"	"BR1"	"Short"	2.46666666666667
"2010"	2010	1970	"Satkhira"	"2010-2011-Satkhira"	"BR1"	"Short"	5.33666666666667
"2010"	2010	1970	"Sonagazi"	"2010-2011-Sonagazi"	"BR1"	"Short"	5.2
"2010"	2010	1970	"Kustia"	"2010-2011-Kustia"	"BR1"	"Short"	4.68333333333333
"2010"	2010	1970	"Rajshahi"	"2010-2011-Rajshahi"	"BR1"	"Short"	5.62
"2011"	2011	1970	"Barisal"	"2011-2012-Barisal"	"BR1"	"Short"	5.26333333333333
"2011"	2011	1970	"Bhanga"	"2011-2012-Bhanga"	"BR1"	"Short"	5.87
"2011"	2011	1970	"Comilla"	"2011-2012-Comilla"	"BR1"	"Short"	5.30333333333333
"2011"	2011	1970	"Gazipur"	"2011-2012-Gazipur"	"BR1"	"Short"	5.20333333333333
"2011"	2011	1970	"Habiganj"	"2011-2012-Habiganj"	"BR1"	"Short"	5.56666666666667
"2011"	2011	1970	"Rangpur"	"2011-2012-Rangpur"	"BR1"	"Short"	2.46666666666667
"2011"	2011	1970	"Satkhira"	"2011-2012-Satkhira"	"BR1"	"Short"	6.41666666666667
"2011"	2011	1970	"Sonagazi"	"2011-2012-Sonagazi"	"BR1"	"Short"	5.2
"2011"	2011	1970	"Kustia"	"2011-2012-Kustia"	"BR1"	"Short"	4.68333333333333
"2011"	2011	1970	"Rajshahi"	"2011-2012-Rajshahi"	"BR1"	"Short"	6.57666666666667
"2012"	2012	1970	"Barisal"	"2012-2013-Barisal"	"BR1"	"Short"	5.29
"2012"	2012	1970	"Bhanga"	"2012-2013-Bhanga"	"BR1"	"Short"	6.84
"2012"	2012	1970	"Comilla"	"2012-2013-Comilla"	"BR1"	"Short"	5.5
"2012"	2012	1970	"Gazipur"	"2012-2013-Gazipur"	"BR1"	"Short"	6.36333333333333
"2012"	2012	1970	"Habiganj"	"2012-2013-Habiganj"	"BR1"	"Short"	5.86666666666667
