"CovParm"	"estimate"	"std.error"
"G"	0,136958743300491	0,0497886650274165
"L"	0,214246269062297	0,131014995206668
"Y"	0,038406028736648	0,0434761050869392
"Y:L"	0,508501214819727	0,0768878355174887
"L:G"	0,0517524762195355	0,00908762065250511
"Y:G"	0,0220054121508204	0,00570761332695019
"Y:L:G"	0,274339861608437	0,0106952840404332
"R"	1	NA
